"ASV","treatment","Est","pval","pval.holm","SE","t.val","sampletype","week"
"ASV353","Intercept",-2.70549249036015,0.223674718377889,0.985405781143886,1.67887621083779,-1.66508181948908,"feces","Week 2"
"ASV353","la",-0.333467328627851,0.520437292255177,1,2.37428950691235,-0.166016184145511,"feces","Week 2"
"ASV353","lg",0.686480797914848,0.567449354867925,1,2.37428950691235,0.336767434585963,"feces","Week 2"
"ASV355","cdiff",-0.222283119539359,0.451308854814426,0.996082787026236,1.9959370003011,-0.124267597320862,"feces","Week 2"
"ASV355","Intercept",-2.80055229124802,0.16330280106368,0.938503407313213,1.41134058773405,-2.0966071118199,"feces","Week 2"
"ASV355","la",0.0915949420025686,0.541881577688174,1,1.9959370003011,0.0757648942719795,"feces","Week 2"
"ASV355","lg",3.23548831114605,0.216943036802856,0.979053485312933,1.9959370003011,1.776804789116,"feces","Week 2"
"ASV356","cdiff",-0.444576831515318,0.52533183312892,0.992864892238768,2.3370324975977,-0.178781593461908,"feces","Week 2"
"ASV356","Intercept",-2.64646612262393,0.238856028971817,0.974946700514265,1.65253152690467,-1.65234293049173,"feces","Week 2"
"ASV356","la",-0.620064959176838,0.487951533910385,1,2.33703249759771,-0.250015900928379,"feces","Week 2"
"ASV356","lg",0.543272772540816,0.563665995887927,0.999632845325927,2.33703249759771,0.279248103708325,"feces","Week 2"
"ASV357","cdiff",1.64351859361469,0.490456621044638,1,2.68932982862935,0.640300762909339,"feces","Week 2"
"ASV357","Intercept",-3.07018246022993,0.219498856616703,0.980141010523352,1.90164335867107,-1.62778209004918,"feces","Week 2"
"ASV357","la",0.00416393866599115,0.57082167414795,1,2.68932982862935,-0.0248625050670313,"feces","Week 2"
"ASV357","lg",1.18788108936471,0.577705769068286,1,2.68932982862935,0.470177317770672,"feces","Week 2"
"ASV358","cdiff",0.0599001302830984,0.492536195029048,1,2.2409654877839,0.00938458344079032,"feces","Week 2"
"ASV358","Intercept",-2.97542964862949,0.161919609187894,0.974299829821755,1.58460189281702,-1.93217589362878,"feces","Week 2"
"ASV358","la",-0.0486370778690962,0.537880854533094,1,2.2409654877839,-0.0339291463932761,"feces","Week 2"
