"ID","Shannon","InvSimpson","mouse","challengeday","week","sampletype","treatment","sex","cage","Lg","La"
"242-1-d7-Cd-il",2.38910350052935,8.58647460282732,1,"day7","Week 2","ileum","cdiff","M",242,"negative","negative"
"242-2-d7-Cd-ce",2.94507003693924,8.11092922525515,2,"day7","Week 2","cecum","cdiff","M",242,"negative","negative"
"242-2-d7-Cd-fe",2.43456580591378,7.12578787217218,2,"day7","Week 2","feces","cdiff","M",242,"negative","negative"
"242-2-d7-Cd-il",2.44114668134262,6.35901095698675,2,"day7","Week 2","ileum","cdiff","M",242,"negative","negative"
"242-3-d7-Cd-ce",2.96608268357862,9.09595740324308,3,"day7","Week 2","cecum","cdiff","M",242,"negative","negative"
"242-3-d7-Cd-fe",2.9961855761158,13.449915896466,3,"day7","Week 2","feces","cdiff","M",242,"negative","negative"
"242-3-d7-Cd-il",1.72960529703566,2.75157560617867,3,"day7","Week 2","ileum","cdiff","M",242,"negative","negative"
"242-4-d7-Cd-ce",3.09217964679942,11.3400335617937,4,"day7","Week 2","cecum","cdiff","M",242,"negative","negative"
"242-4-d7-Cd-fe",2.23296592641873,5.73754144765326,4,"day7","Week 2","feces","cdiff","M",242,"negative","negative"
"242-4-d7-Cd-il",1.99961865368285,4.27882969235343,4,"day7","Week 2","ileum","cdiff","M",242,"negative","negative"
"243-1-d7-La-ce",3.82718026252899,28.8086492419093,1,"day7","Week 2","cecum","la","M",243,"none","positive"
"243-1-d7-La-fe",2.28846374026791,5.64992404282925,1,"day7","Week 2","feces","la","M",243,"none","positive"
"243-1-d7-La-il",2.1976244269318,3.95928822790634,1,"day7","Week 2","ileum","la","M",243,"none","positive"
"243-2-d7-La-ce",3.69367243630933,26.7411035146594,2,"day7","Week 2","cecum","la","M",243,"none","positive"
"243-2-d7-La-fe",3.06766930683155,14.7466226204809,2,"day7","Week 2","feces","la","M",243,"none","positive"
"243-2-d7-La-il",1.44062623840662,2.54385751942286,2,"day7","Week 2","ileum","la","M",243,"none","positive"
"243-3-d7-La-ce",4.0580545428956,39.901188277995,3,"day7","Week 2","cecum","la","M",243,"none","positive"
"243-3-d7-La-fe",2.25166164767077,5.87291904210749,3,"day7","Week 2","feces","la","M",243,"none","positive"
"243-3-d7-La-il",1.74303413204271,2.99390923316232,3,"day7","Week 2","ileum","la","M",243,"none","positive"
"244-1-d7-Lg-ce",3.56369776558855,19.0921644760163,1,"day7","Week 2","cecum","lg","M",244,"positive","none"
"244-1-d7-Lg-fe",2.33288450170814,5.59144309413171,1,"day7","Week 2","feces","lg","M",244,"positive","none"
"244-1-d7-Lg-il",1.98282263651578,4.16102131881555,1,"day7","Week 2","ileum","lg","M",244,"positive","none"
"244-2-d7-Lg-ce",3.96018999101583,35.8850733625131,2,"day7","Week 2","cecum","lg","M",244,"positive","none"
"244-2-d7-Lg-fe",3.21335961163969,11.791559188215,2,"day7","Week 2","feces","lg","M",244,"positive","none"
"244-2-d7-Lg-il",3.13780510910854,13.2166459997477,2,"day7","Week 2","ileum","lg","M",244,"positive","none"
"244-3-d7-Lg-ce",3.97036744550197,36.650419955649,3,"day7","Week 2","cecum","lg","M",244,"positive","none"
"244-3-d7-Lg-fe",2.86849874286782,8.97906811775976,3,"day7","Week 2","feces","lg","M",244,"positive","none"
"244-3-d7-Lg-il",3.62880902922837,26.6610758869026,3,"day7","Week 2","ileum","lg","M",244,"positive","none"
"244-4-d7-La-ce",4.02924404237548,40.1663476224629,4,"day7","Week 2","cecum","la","M",243,"none","positive"
"244-4-d7-La-fe",2.43631105404092,5.98174658702732,4,"day7","Week 2","feces","la","M",243,"none","positive"
"244-4-d7-La-il",1.87017964907477,2.92401004693477,4,"day7","Week 2","ileum","la","M",243,"none","positive"
"244-4-d7-Lg-ce",4.00587069083848,38.2453735327453,4,"day7","Week 2","cecum","lg","M",244,"positive","none"
"244-4-d7-Lg-fe",2.1090365475033,4.90900052803683,4,"day7","Week 2","feces","lg","M",244,"positive","none"
"244-4-d7-Lg-il",3.45789454630705,15.0177077719306,4,"day7","Week 2","ileum","lg","M",244,"positive","none"
"245-1-d14-No-ce",3.99394171674949,36.2953893632143,1,"day14","Week 3","cecum","cef","M",245,"none","none"
"245-1-d14-No-fe",3.54503138009415,19.8662700185833,1,"day14","Week 3","feces","cef","M",245,"none","none"
"245-1-d14-No-il",3.53256869215536,22.6604912742838,1,"day14","Week 3","ileum","cef","M",245,"none","none"
"245-2-d14-No-ce",3.94940929693691,35.2799336157526,2,"day14","Week 3","cecum","cef","M",245,"none","none"
"245-2-d14-No-fe",3.1895266200336,9.85315574060335,2,"day14","Week 3","feces","cef","M",245,"none","none"
"245-2-d14-No-il",2.15888491480196,6.16921828146449,2,"day14","Week 3","ileum","cef","M",245,"none","none"
"245-3-d14-No-ce",3.9311436363667,37.5611265497828,3,"day14","Week 3","cecum","cef","M",245,"none","none"
"245-3-d14-No-fe",2.80346297543305,7.7815278529849,3,"day14","Week 3","feces","cef","M",245,"none","none"
"245-3-d14-No-il",3.8835333158902,33.751301964591,3,"day14","Week 3","ileum","cef","M",245,"none","none"
"245-4-d14-No-ce",3.96217229995061,36.9362646723755,4,"day14","Week 3","cecum","cef","M",245,"none","none"
"245-4-d14-No-fe",3.4800505864978,16.2163720509472,4,"day14","Week 3","feces","cef","M",245,"none","none"
"245-4-d14-No-il",1.39645043627851,3.01550900474403,4,"day14","Week 3","ileum","cef","M",245,"none","none"
"246-1-d14-Cd-ce",3.83746564747844,24.3502641200537,1,"day14","Week 3","cecum","cdiff","M",246,"negative","negative"
"246-1-d14-Cd-fe",2.79231360146873,7.46595472092022,1,"day14","Week 3","feces","cdiff","M",246,"negative","negative"
"246-1-d14-Cd-il",2.26118364024457,3.61369126012273,1,"day14","Week 3","ileum","cdiff","M",246,"negative","negative"
"246-2-d14-Cd-ce",3.94909247764153,30.6933572787116,2,"day14","Week 3","cecum","cdiff","M",246,"negative","negative"
"246-2-d14-Cd-fe",3.4117675406065,12.9104433812647,2,"day14","Week 3","feces","cdiff","M",246,"negative","negative"
"246-2-d14-Cd-il",0.853666412676209,1.48316831683168,2,"day14","Week 3","ileum","cdiff","M",246,"negative","negative"
"246-3-d14-Cd-ce",3.7066619240194,26.3735098029754,3,"day14","Week 3","cecum","cdiff","M",246,"negative","negative"
"246-3-d14-Cd-fe",3.21888162879453,10.4987242560506,3,"day14","Week 3","feces","cdiff","M",246,"negative","negative"
"246-3-d14-Cd-il",3.82179481558406,30.2119394959093,3,"day14","Week 3","ileum","cdiff","M",246,"negative","negative"
"246-4-d14-Cd-ce",3.70659922236449,22.0428252099316,4,"day14","Week 3","cecum","cdiff","M",246,"negative","negative"
"246-4-d14-Cd-fe",3.69275393633482,18.4759744233151,4,"day14","Week 3","feces","cdiff","M",246,"negative","negative"
"246-4-d14-Cd-il",0.636922426769206,1.3152474522168,4,"day14","Week 3","ileum","cdiff","M",246,"negative","negative"
"247-1-d14-La-ce",3.70725616969403,22.4755937122982,1,"day14","Week 3","cecum","la","M",247,"none","positive"
"247-1-d14-La-fe",3.0895841640254,9.16029152195366,1,"day14","Week 3","feces","la","M",247,"none","positive"
"247-1-d14-La-il",3.21173803540819,10.3617923618706,1,"day14","Week 3","ileum","la","M",247,"none","positive"
"247-2-d14-La-ce",3.785151826639,24.7151585239972,2,"day14","Week 3","cecum","la","M",247,"none","positive"
"247-2-d14-La-fe",3.17762721910113,10.4967369716991,2,"day14","Week 3","feces","la","M",247,"none","positive"
"247-2-d14-La-il",2.55443499069407,5.86660022145435,2,"day14","Week 3","ileum","la","M",247,"none","positive"
"247-3-d14-La-ce",3.77919002043485,23.3230675807587,3,"day14","Week 3","cecum","la","M",247,"none","positive"
"247-3-d14-La-fe",2.71753678867237,6.55165347210798,3,"day14","Week 3","feces","la","M",247,"none","positive"
"247-3-d14-La-il",1.06706124364929,1.59163229914696,3,"day14","Week 3","ileum","la","M",247,"none","positive"
